Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy ,Financials,Health Care,Information Technology,Materials,Real Estate,Utilities,Industrials
2015-08-13,355.2722778,1577.071051,1611.959477,1181.434269,962.800151,1137.707445,1093.980622,1114.525032,1239.925435,1121.728826,1397.91311
2015-08-14,356.7188416,1578.074099,1611.802572,1182.198504,966.3487118,1139.028546,1095.858587,1112.216729,1240.789678,1122.740126,1402.92248
2015-08-17,356.1323853,1577.450984,1618.492819,1184.025396,963.5401496,1139.928347,1095.831297,1107.210832,1240.925689,1121.910285,1401.81668
2015-08-18,355.3504333,1572.210544,1612.575462,1180.04548,962.6026047,1136.556905,1093.06833,1098.31308,1236.481772,1117.844695,1402.48727
2015-08-19,349.6423035,1550.70512,1595.769676,1165.372367,948.6065569,1122.019205,1078.666043,1068.871106,1218.572868,1100.351357,1384.95942
2015-08-20,348.8212891,1537.290066,1593.537773,1159.883043,934.429028,1114.79224,1069.701437,1070.810551,1211.49202,1093.518053,1374.52515
2015-08-21,340.6891479,1505.728018,1553.494198,1133.303788,904.0200685,1087.447044,1041.5903,1046.497869,1181.725898,1065.764161,1333.73281
2015-08-24,323.8775635,1451.826053,1499.604218,1091.769278,867.5136574,1046.918154,1002.06703,991.1410999,1135.834213,1022.540572,1268.20356
2015-08-25,337.4441223,1498.309272,1541.102686,1125.618694,900.1806921,1080.531093,1035.443493,1031.767383,1173.279045,1057.8034,1307.06387
2015-08-26,334.0036011,1476.804886,1513.491825,1108.100104,934.6934613,1073.418775,1038.737447,1004.534292,1164.254399,1053.956413,1281.2282
2015-08-27,339.0861816,1515.076055,1559.668547,1137.943594,961.4676266,1102.648401,1067.353207,1052.48404,1199.52021,1086.902847,1326.10371
2015-08-28,341.9793701,1525.444997,1566.753914,1144.726094,965.1086782,1108.802611,1072.879128,1068.896219,1207.515949,1094.65478,1346.70497
2015-09-01,329.3119507,1485.497657,1535.538536,1116.782714,935.4245995,1080.511091,1044.239468,1035.534981,1176.218435,1064.785215,1312.87753
2015-09-02,333.8472595,1495.101866,1542.620779,1123.856635,941.3268793,1087.350684,1050.844733,1032.502846,1181.943489,1069.637544,1323.80693
2015-09-03,337.7959595,1519.293611,1570.093056,1142.394209,957.5034672,1105.41606,1068.437912,1051.813613,1202.13599,1087.950208,1349.9966
2015-09-04,330.3284912,1484.04828,1543.750271,1119.375681,933.045941,1082.109733,1044.843785,1017.994556,1175.024035,1062.065622,1321.9771
2015-09-07,332.9870911,1489.944512,1544.489723,1122.473775,936.5557114,1085.290163,1048.10655,1030.010275,1179.552958,1066.998239,1336.37008
